sample,_study,detailed_category,_sample_type,primary disease or tissue,CLDN4
GTEX-13X6K-1826-SM-5O9CR,GTEX,Heart - Left Ventricle,Normal Tissue,Heart - Left Ventricle,-2.727
GTEX-13VXT-0626-SM-5SIA1,GTEX,Thyroid,Normal Tissue,Thyroid,6.135
GTEX-XUZC-0008-SM-4BOQG,GTEX,Cells - Transformed Fibroblasts,Cell Line,Cells - Transformed Fibroblasts,1.651
TCGA-LD-A66U-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,7.824
TCGA-A8-A0A9-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,6.99
TCGA-DE-A2OL-01,TCGA,Thyroid Carcinoma,Primary Tumor,Thyroid Carcinoma,8.248
TCGA-EJ-7125-11,TCGA,Prostate Adenocarcinoma,Solid Tissue Normal,Prostate Adenocarcinoma,6.579
TCGA-G7-A4TM-01,TCGA,Kidney Papillary Cell Carcinoma,Primary Tumor,Kidney Papillary Cell Carcinoma,9.27
GTEX-13JUV-0011-R9a-SM-5LZX3,GTEX,Brain - Spinal Cord (Cervical C-1),Normal Tissue,Brain - Spinal Cord (Cervical C-1),-3.308
GTEX-T6MN-1226-SM-3NMA5,GTEX,Liver,Normal Tissue,Liver,-0.4719
TARGET-20-PARBRA-09,TARGET,Acute Myeloid Leukemia,Primary Blood Derived Cancer - Bone Marrow,Acute Myeloid Leukemia,-9.966
GTEX-RU72-1226-SM-2TF6N,GTEX,Artery - Tibial,Normal Tissue,Artery - Tibial,-2.178
TCGA-62-A46P-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,5.968
GTEX-Y114-0008-SM-4TT8X,GTEX,Cells - Transformed Fibroblasts,Cell Line,Cells - Transformed Fibroblasts,1.556
GTEX-T8EM-0826-SM-4DM76,GTEX,Pancreas,Normal Tissue,Pancreas,6.469
TCGA-DD-A4NS-01,TCGA,Liver Hepatocellular Carcinoma,Primary Tumor,Liver Hepatocellular Carcinoma,5.045
GTEX-12ZZY-2726-SM-5EQ45,GTEX,Colon - Sigmoid,Normal Tissue,Colon - Sigmoid,0.2277
TCGA-CN-5356-01,TCGA,Head & Neck Squamous Cell Carcinoma,Primary Tumor,Head & Neck Squamous Cell Carcinoma,5.608
GTEX-131YS-2826-SM-5EQ47,GTEX,Skin - Not Sun Exposed (Suprapubic),Normal Tissue,Skin - Not Sun Exposed (Suprapubic),6.849
TCGA-B0-4697-01,TCGA,Kidney Clear Cell Carcinoma,Primary Tumor,Kidney Clear Cell Carcinoma,1.401
GTEX-X88G-0006-SM-47JX5,GTEX,Whole Blood,Normal Tissue,Whole Blood,-2.826
GTEX-ZVE1-0526-SM-5NQ71,GTEX,Muscle - Skeletal,Normal Tissue,Muscle - Skeletal,-1.831
TCGA-QR-A6GO-01,TCGA,Pheochromocytoma & Paraganglioma,Primary Tumor,Pheochromocytoma & Paraganglioma,-4.293
GTEX-11TUW-0626-SM-5LU9M,GTEX,Skin - Not Sun Exposed (Suprapubic),Normal Tissue,Skin - Not Sun Exposed (Suprapubic),7.044
TCGA-IN-AB1X-01,TCGA,Stomach Adenocarcinoma,Primary Tumor,Stomach Adenocarcinoma,8.491
GTEX-Y5V6-1626-SM-4VDT2,GTEX,Colon - Sigmoid,Normal Tissue,Colon - Sigmoid,8.877
TCGA-AC-A3TN-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,7.569
GTEX-QV31-1126-SM-4R1K4,GTEX,Testis,Normal Tissue,Testis,-0.7108
TCGA-44-8119-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,6.966
TCGA-13-0886-01,TCGA,Ovarian Serous Cystadenocarcinoma,Primary Tumor,Ovarian Serous Cystadenocarcinoma,7.509
GTEX-13PVQ-0426-SM-5J1OG,GTEX,Nerve - Tibial,Normal Tissue,Nerve - Tibial,-0.6643
TCGA-BP-4759-01,TCGA,Kidney Clear Cell Carcinoma,Primary Tumor,Kidney Clear Cell Carcinoma,4.323
GTEX-13NYB-2726-SM-5J2MT,GTEX,Muscle - Skeletal,Normal Tissue,Muscle - Skeletal,-5.012
TCGA-GN-A262-06,TCGA,Skin Cutaneous Melanoma,Metastatic,Skin Cutaneous Melanoma,-2.932
GTEX-WEY5-0526-SM-3GIKZ,GTEX,Thyroid,Normal Tissue,Thyroid,4.568
GTEX-WZTO-1326-SM-3NM8X,GTEX,Heart - Left Ventricle,Normal Tissue,Heart - Left Ventricle,-2.466
GTEX-13NYS-2926-SM-5IFGH,GTEX,Pituitary,Normal Tissue,Pituitary,4.297
GTEX-11DXZ-0326-SM-5EGH1,GTEX,Heart - Atrial Appendage,Normal Tissue,Heart - Atrial Appendage,-2.245
TCGA-V4-A9EZ-01,TCGA,Uveal Melanoma,Primary Tumor,Uveal Melanoma,-6.506
GTEX-13PVQ-2726-SM-5L3H7,GTEX,Colon - Sigmoid,Normal Tissue,Colon - Sigmoid,-0.8599
TCGA-VS-A9V2-01,TCGA,Cervical & Endocervical Cancer,Primary Tumor,Cervical & Endocervical Cancer,5.71
TCGA-VS-A94Y-01,TCGA,Cervical & Endocervical Cancer,Primary Tumor,Cervical & Endocervical Cancer,8.139
TCGA-ZN-A9VO-01,TCGA,Mesothelioma,Primary Tumor,Mesothelioma,-0.2498
GTEX-WL46-0011-R7A-SM-3LK7X,GTEX,Brain - Putamen (Basal Ganglia),Normal Tissue,Brain - Putamen (Basal Ganglia),-2.826
TCGA-90-A4EE-01,TCGA,Lung Squamous Cell Carcinoma,Primary Tumor,Lung Squamous Cell Carcinoma,5.512
TCGA-FB-AAPZ-01,TCGA,Pancreatic Adenocarcinoma,Primary Tumor,Pancreatic Adenocarcinoma,8.681
TCGA-C5-A8ZZ-01,TCGA,Cervical & Endocervical Cancer,Primary Tumor,Cervical & Endocervical Cancer,7.394
TCGA-MQ-A6BS-01,TCGA,Mesothelioma,Primary Tumor,Mesothelioma,-2.114
GTEX-11GSP-0006-SM-5N9EL,GTEX,Whole Blood,Normal Tissue,Whole Blood,-5.012
