sample,_study,detailed_category,_sample_type,primary disease or tissue,CLDN4
GTEX-S4Q7-0003-SM-3NM8M,GTEX,Cells - Ebv-Transformed Lymphocytes,Cell Line,Cells - Ebv-Transformed Lymphocytes,-3.308
TCGA-19-1787-01,TCGA,Glioblastoma Multiforme,Primary Tumor,Glioblastoma Multiforme,-0.0425
TCGA-S9-A7J2-01,TCGA,Brain Lower Grade Glioma,Primary Tumor,Brain Lower Grade Glioma,-3.458
GTEX-QV31-1626-SM-2S1QC,GTEX,Artery - Tibial,Normal Tissue,Artery - Tibial,-1.552
TCGA-G3-A3CH-11,TCGA,Liver Hepatocellular Carcinoma,Solid Tissue Normal,Liver Hepatocellular Carcinoma,0.8805
TCGA-B5-A5OE-01,TCGA,Uterine Corpus Endometrioid Carcinoma,Primary Tumor,Uterine Corpus Endometrioid Carcinoma,9.078
GTEX-13QIC-0011-R1a-SM-5O9CJ,GTEX,Brain - Hippocampus,Normal Tissue,Brain - Hippocampus,-2.315
TCGA-B2-5641-11,TCGA,Kidney Clear Cell Carcinoma,Solid Tissue Normal,Kidney Clear Cell Carcinoma,6.999
GTEX-ZPCL-0126-SM-4WWC8,GTEX,Thyroid,Normal Tissue,Thyroid,7.043
TARGET-20-PANGDN-09,TARGET,Acute Myeloid Leukemia,Primary Blood Derived Cancer - Bone Marrow,Acute Myeloid Leukemia,-5.012
GTEX-S33H-1226-SM-4AD69,GTEX,Pancreas,Normal Tissue,Pancreas,5.541
GTEX-X88G-0426-SM-47JZ5,GTEX,Artery - Tibial,Normal Tissue,Artery - Tibial,-1.248
TCGA-C8-A1HL-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,6.293
TCGA-EW-A2FS-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,6.839
GTEX-ZAKK-0326-SM-5EGHA,GTEX,Muscle - Skeletal,Normal Tissue,Muscle - Skeletal,-1.685
GTEX-1399S-1726-SM-5L3DI,GTEX,Lung,Normal Tissue,Lung,7.19
GTEX-ZF29-0926-SM-4WKFZ,GTEX,Skin - Not Sun Exposed (Suprapubic),Normal Tissue,Skin - Not Sun Exposed (Suprapubic),7.126
TCGA-IR-A3L7-01,TCGA,Cervical & Endocervical Cancer,Primary Tumor,Cervical & Endocervical Cancer,7.636
TCGA-05-4420-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,8.345
TCGA-91-6840-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,8.257
GTEX-13W3W-2626-SM-5SIA2,GTEX,Muscle - Skeletal,Normal Tissue,Muscle - Skeletal,-3.458
GTEX-WQUQ-2526-SM-4MVNO,GTEX,Colon - Transverse,Normal Tissue,Colon - Transverse,6.32
TCGA-R6-A8WC-01,TCGA,Esophageal Carcinoma,Primary Tumor,Esophageal Carcinoma,8.343
GTEX-P44H-0526-SM-2XCF1,GTEX,Nerve - Tibial,Normal Tissue,Nerve - Tibial,-0.8599
TCGA-B6-A402-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,9.151
TCGA-DX-A3U8-01,TCGA,Sarcoma,Primary Tumor,Sarcoma,-1.552
TCGA-GL-8500-01,TCGA,Kidney Papillary Cell Carcinoma,Primary Tumor,Kidney Papillary Cell Carcinoma,7.503
TCGA-D5-6929-01,TCGA,Colon Adenocarcinoma,Primary Tumor,Colon Adenocarcinoma,9.01
GTEX-11ONC-2326-SM-5HL6P,GTEX,Nerve - Tibial,Normal Tissue,Nerve - Tibial,0.0854
GTEX-TSE9-0126-SM-3DB83,GTEX,Skin - Sun Exposed (Lower Leg),Normal Tissue,Skin - Sun Exposed (Lower Leg),6.845
GTEX-R55F-0226-SM-48FCI,GTEX,Nerve - Tibial,Normal Tissue,Nerve - Tibial,-0.8339
TCGA-EJ-7125-01,TCGA,Prostate Adenocarcinoma,Primary Tumor,Prostate Adenocarcinoma,8.866
GTEX-13O3P-0226-SM-5KM3Z,GTEX,Adipose - Subcutaneous,Normal Tissue,Adipose - Subcutaneous,-1.392
TCGA-L5-A4OH-01,TCGA,Esophageal Carcinoma,Primary Tumor,Esophageal Carcinoma,10.57
GTEX-VJYA-0005-SM-3P5ZD,GTEX,Whole Blood,Normal Tissue,Whole Blood,-3.047
TCGA-AX-A3G6-01,TCGA,Uterine Corpus Endometrioid Carcinoma,Primary Tumor,Uterine Corpus Endometrioid Carcinoma,9.901
GTEX-PWCY-1326-SM-48TCU,GTEX,Ovary,Normal Tissue,Ovary,-1.214
GTEX-POMQ-0006-SM-5SI7D,GTEX,Whole Blood,Normal Tissue,Whole Blood,-5.012
TCGA-B9-A8YH-01,TCGA,Kidney Papillary Cell Carcinoma,Primary Tumor,Kidney Papillary Cell Carcinoma,9.139
GTEX-Y9LG-0426-SM-4VBRT,GTEX,Thyroid,Normal Tissue,Thyroid,7.839
TCGA-E1-A7YI-01,TCGA,Brain Lower Grade Glioma,Primary Tumor,Brain Lower Grade Glioma,-3.308
TCGA-PC-A5DM-01,TCGA,Sarcoma,Primary Tumor,Sarcoma,-0.7108
TCGA-BR-A4QL-01,TCGA,Stomach Adenocarcinoma,Primary Tumor,Stomach Adenocarcinoma,7.379
GTEX-147F4-1226-SM-5NQAY,GTEX,Heart - Left Ventricle,Normal Tissue,Heart - Left Ventricle,-3.171
TCGA-A2-A3XX-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,9.691
GTEX-QXCU-0626-SM-2TC69,GTEX,Lung,Normal Tissue,Lung,6.572
TCGA-DQ-5624-01,TCGA,Head & Neck Squamous Cell Carcinoma,Primary Tumor,Head & Neck Squamous Cell Carcinoma,8.141
TCGA-KK-A7B3-01,TCGA,Prostate Adenocarcinoma,Primary Tumor,Prostate Adenocarcinoma,6.958
GTEX-1269C-2626-SM-5EQ5C,GTEX,Muscle - Skeletal,Normal Tissue,Muscle - Skeletal,-2.727
GTEX-12WSK-2326-SM-5GCOH,GTEX,Skin - Sun Exposed (Lower Leg),Normal Tissue,Skin - Sun Exposed (Lower Leg),8.134
TCGA-06-5412-01,TCGA,Glioblastoma Multiforme,Primary Tumor,Glioblastoma Multiforme,-2.178
GTEX-P4PQ-0126-SM-2S1NM,GTEX,Skin - Sun Exposed (Lower Leg),Normal Tissue,Skin - Sun Exposed (Lower Leg),7.723
TCGA-SX-A7SM-01,TCGA,Kidney Papillary Cell Carcinoma,Primary Tumor,Kidney Papillary Cell Carcinoma,7.196
TCGA-BP-4765-01,TCGA,Kidney Clear Cell Carcinoma,Primary Tumor,Kidney Clear Cell Carcinoma,6.385
GTEX-ZA64-1526-SM-5CVMD,GTEX,Breast - Mammary Tissue,Normal Tissue,Breast - Mammary Tissue,-0.7834
TCGA-CZ-5459-01,TCGA,Kidney Clear Cell Carcinoma,Primary Tumor,Kidney Clear Cell Carcinoma,5.833
TCGA-44-6778-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,6.458
TCGA-56-8305-01,TCGA,Lung Squamous Cell Carcinoma,Primary Tumor,Lung Squamous Cell Carcinoma,6.348
GTEX-1122O-0426-SM-5H12G,GTEX,Artery - Coronary,Normal Tissue,Artery - Coronary,-0.9971
TCGA-CZ-5468-11,TCGA,Kidney Clear Cell Carcinoma,Solid Tissue Normal,Kidney Clear Cell Carcinoma,8.572
TCGA-BH-A0BQ-11,TCGA,Breast Invasive Carcinoma,Solid Tissue Normal,Breast Invasive Carcinoma,7.55
GTEX-1399Q-0005-SM-5NQAG,GTEX,Whole Blood,Normal Tissue,Whole Blood,-2.388
TCGA-4X-A9FA-01,TCGA,Thymoma,Primary Tumor,Thymoma,0.1519
TCGA-DD-AAW0-01,TCGA,Liver Hepatocellular Carcinoma,Primary Tumor,Liver Hepatocellular Carcinoma,0.9419
GTEX-11EI6-0826-SM-5985V,GTEX,Lung,Normal Tissue,Lung,5.772
GTEX-11EI6-3126-SM-5H111,GTEX,Pituitary,Normal Tissue,Pituitary,2.82
TARGET-50-PAJMSE-01,TARGET,Wilms Tumor,Primary Solid Tumor,Wilms Tumor,6.66
TCGA-RC-A7SH-01,TCGA,Liver Hepatocellular Carcinoma,Primary Tumor,Liver Hepatocellular Carcinoma,6.22
GTEX-QV44-1726-SM-4R1KG,GTEX,Testis,Normal Tissue,Testis,-0.9132
GTEX-14E7W-0526-SM-5S2W8,GTEX,Artery - Tibial,Normal Tissue,Artery - Tibial,-2.635
TCGA-FR-A3R1-01,TCGA,Skin Cutaneous Melanoma,Primary Tumor,Skin Cutaneous Melanoma,-2.932
TCGA-AA-3511-01,TCGA,Colon Adenocarcinoma,Primary Tumor,Colon Adenocarcinoma,9.232
TCGA-Z7-A8R5-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,7.521
TCGA-GV-A3QK-01,TCGA,Bladder Urothelial Carcinoma,Primary Tumor,Bladder Urothelial Carcinoma,9.633
GTEX-S341-0326-SM-2XCAU,GTEX,Lung,Normal Tissue,Lung,6.3
TCGA-EE-A29D-06,TCGA,Skin Cutaneous Melanoma,Metastatic,Skin Cutaneous Melanoma,-3.458
GTEX-N7MS-2625-SM-3LK77,GTEX,Pituitary,Normal Tissue,Pituitary,4.131
TCGA-ZG-A8QW-01,TCGA,Prostate Adenocarcinoma,Primary Tumor,Prostate Adenocarcinoma,8.601
TCGA-DU-7302-01,TCGA,Brain Lower Grade Glioma,Primary Tumor,Brain Lower Grade Glioma,-1.884
TCGA-DJ-A3UX-01,TCGA,Thyroid Carcinoma,Primary Tumor,Thyroid Carcinoma,8.506
TARGET-30-PATGLU-01,TARGET,Neuroblastoma,Primary Solid Tumor,Neuroblastoma,0.9038
GTEX-OHPJ-0926-SM-2HMJ1,GTEX,Heart - Left Ventricle,Normal Tissue,Heart - Left Ventricle,-5.012
TCGA-FS-A1ZA-06,TCGA,Skin Cutaneous Melanoma,Metastatic,Skin Cutaneous Melanoma,1.245
GTEX-13O61-0326-SM-5KM2O,GTEX,Artery - Aorta,Normal Tissue,Artery - Aorta,-2.548
TCGA-ZN-A9VQ-01,TCGA,Mesothelioma,Primary Tumor,Mesothelioma,-0.7108
TCGA-EI-6512-01,TCGA,Rectum Adenocarcinoma,Primary Tumor,Rectum Adenocarcinoma,8.913
TCGA-J4-A83K-01,TCGA,Prostate Adenocarcinoma,Primary Tumor,Prostate Adenocarcinoma,7.33
TCGA-DK-A1AA-01,TCGA,Bladder Urothelial Carcinoma,Primary Tumor,Bladder Urothelial Carcinoma,8.588
TCGA-EE-A17X-06,TCGA,Skin Cutaneous Melanoma,Metastatic,Skin Cutaneous Melanoma,-5.574
GTEX-REY6-0126-SM-48FDT,GTEX,Testis,Normal Tissue,Testis,-0.7108
TCGA-G9-6379-01,TCGA,Prostate Adenocarcinoma,Primary Tumor,Prostate Adenocarcinoma,8.011
GTEX-13PL7-2726-SM-5L3GB,GTEX,Vagina,Normal Tissue,Vagina,6.653
TCGA-GC-A3RC-01,TCGA,Bladder Urothelial Carcinoma,Primary Tumor,Bladder Urothelial Carcinoma,4.781
TCGA-CJ-6030-11,TCGA,Kidney Clear Cell Carcinoma,Solid Tissue Normal,Kidney Clear Cell Carcinoma,6.671
GTEX-QV44-0526-SM-2S1RE,GTEX,Heart - Left Ventricle,Normal Tissue,Heart - Left Ventricle,-3.816
TCGA-67-3774-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,6.762
GTEX-WY7C-0426-SM-3NB3C,GTEX,Lung,Normal Tissue,Lung,7.19
TCGA-DD-AACA-02,TCGA,Liver Hepatocellular Carcinoma,Recurrent Tumor,Liver Hepatocellular Carcinoma,-1.012
TCGA-DD-AACA-01,TCGA,Liver Hepatocellular Carcinoma,Primary Tumor,Liver Hepatocellular Carcinoma,-3.816
GTEX-ZPCL-0004-SM-4WWD6,GTEX,Cells - Ebv-Transformed Lymphocytes,Cell Line,Cells - Ebv-Transformed Lymphocytes,-2.245
GTEX-X5EB-0326-SM-4QASF,GTEX,Artery - Coronary,Normal Tissue,Artery - Coronary,0.044
GTEX-11DXY-1526-SM-5H129,GTEX,Esophagus - Muscularis,Normal Tissue,Esophagus - Muscularis,-0.5125
GTEX-ZPIC-0005-SM-4WWEB,GTEX,Whole Blood,Normal Tissue,Whole Blood,-1.831
GTEX-13G51-2126-SM-5IJD9,GTEX,Colon - Sigmoid,Normal Tissue,Colon - Sigmoid,-0.8599
TCGA-13-1485-01,TCGA,Ovarian Serous Cystadenocarcinoma,Primary Tumor,Ovarian Serous Cystadenocarcinoma,7.801
TCGA-QG-A5YX-01,TCGA,Colon Adenocarcinoma,Primary Tumor,Colon Adenocarcinoma,9.023
GTEX-Y5V6-2826-SM-4VDSF,GTEX,Artery - Tibial,Normal Tissue,Artery - Tibial,-1.318
GTEX-Y111-1826-SM-4SOIR,GTEX,Esophagus - Gastroesophageal Junction,Normal Tissue,Esophagus - Gastroesophageal Junction,-0.3566
TCGA-FE-A238-01,TCGA,Thyroid Carcinoma,Primary Tumor,Thyroid Carcinoma,8.845
TCGA-DU-A7TI-01,TCGA,Brain Lower Grade Glioma,Primary Tumor,Brain Lower Grade Glioma,-0.9132
GTEX-TMZS-0001-SM-3P61Q,GTEX,Cells - Ebv-Transformed Lymphocytes,Cell Line,Cells - Ebv-Transformed Lymphocytes,-3.626
TCGA-D8-A1JU-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,5.659
TCGA-VD-A8K7-01,TCGA,Uveal Melanoma,Primary Tumor,Uveal Melanoma,-3.816
GTEX-11XUK-1426-SM-5EQMG,GTEX,Small Intestine - Terminal Ileum,Normal Tissue,Small Intestine - Terminal Ileum,6.724
TCGA-FR-A8YD-06,TCGA,Skin Cutaneous Melanoma,Metastatic,Skin Cutaneous Melanoma,4.149
GTEX-WOFM-0526-SM-4OOS2,GTEX,Esophagus - Muscularis,Normal Tissue,Esophagus - Muscularis,-0.5973
TCGA-HC-7742-01,TCGA,Prostate Adenocarcinoma,Primary Tumor,Prostate Adenocarcinoma,8.744
TCGA-DD-A3A6-11,TCGA,Liver Hepatocellular Carcinoma,Solid Tissue Normal,Liver Hepatocellular Carcinoma,0.1648
TCGA-64-1679-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,8.782
TCGA-CV-5976-01,TCGA,Head & Neck Squamous Cell Carcinoma,Primary Tumor,Head & Neck Squamous Cell Carcinoma,6.612
TCGA-BP-4775-01,TCGA,Kidney Clear Cell Carcinoma,Primary Tumor,Kidney Clear Cell Carcinoma,7.121
GTEX-N7MS-2526-SM-26GMA,GTEX,Brain - Cerebellum,Normal Tissue,Brain - Cerebellum,0.8647
GTEX-WHPG-0226-SM-3NMB9,GTEX,Thyroid,Normal Tissue,Thyroid,7.267
GTEX-13FTZ-2226-SM-5LZXI,GTEX,Muscle - Skeletal,Normal Tissue,Muscle - Skeletal,-3.047
GTEX-14AS3-1326-SM-5RQJE,GTEX,Ovary,Normal Tissue,Ovary,-1.639
GTEX-QEG4-0426-SM-5S2VQ,GTEX,Heart - Left Ventricle,Normal Tissue,Heart - Left Ventricle,-4.293
GTEX-1339X-0326-SM-5K7Z8,GTEX,Heart - Atrial Appendage,Normal Tissue,Heart - Atrial Appendage,-2.932
GTEX-PLZ6-0126-SM-48TC6,GTEX,Spleen,Normal Tissue,Spleen,1.417
TCGA-CV-6948-01,TCGA,Head & Neck Squamous Cell Carcinoma,Primary Tumor,Head & Neck Squamous Cell Carcinoma,5.76
TCGA-EM-A3SX-01,TCGA,Thyroid Carcinoma,Primary Tumor,Thyroid Carcinoma,9.017
TCGA-K7-AAU7-01,TCGA,Liver Hepatocellular Carcinoma,Primary Tumor,Liver Hepatocellular Carcinoma,6.971
TCGA-CJ-6028-01,TCGA,Kidney Clear Cell Carcinoma,Primary Tumor,Kidney Clear Cell Carcinoma,5.691
GTEX-11ONC-2826-SM-5P9GQ,GTEX,Pituitary,Normal Tissue,Pituitary,4.941
TCGA-B6-A0RL-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,8.598
GTEX-N7MS-2526-SM-26GMR,GTEX,Brain - Cerebellum,Normal Tissue,Brain - Cerebellum,-1.938
GTEX-1122O-1526-SM-5N9CL,GTEX,Colon - Transverse,Normal Tissue,Colon - Transverse,9.294
TCGA-CZ-5456-01,TCGA,Kidney Clear Cell Carcinoma,Primary Tumor,Kidney Clear Cell Carcinoma,5.053
TCGA-F4-6704-11,TCGA,Colon Adenocarcinoma,Solid Tissue Normal,Colon Adenocarcinoma,9.106
TCGA-EL-A3D0-01,TCGA,Thyroid Carcinoma,Primary Tumor,Thyroid Carcinoma,7.933
TCGA-EM-A22Q-01,TCGA,Thyroid Carcinoma,Primary Tumor,Thyroid Carcinoma,4.887
GTEX-1497J-1226-SM-5Q5BL,GTEX,Heart - Left Ventricle,Normal Tissue,Heart - Left Ventricle,-4.608
GTEX-13OW7-2726-SM-5L3HN,GTEX,Adrenal Gland,Normal Tissue,Adrenal Gland,-2.388
TCGA-5P-A9KA-01,TCGA,Kidney Papillary Cell Carcinoma,Primary Tumor,Kidney Papillary Cell Carcinoma,8.384
GTEX-QLQ7-0826-SM-447B3,GTEX,Stomach,Normal Tissue,Stomach,1.938
TCGA-FS-A1ZF-06,TCGA,Skin Cutaneous Melanoma,Metastatic,Skin Cutaneous Melanoma,-1.639
TCGA-ZN-A9VU-01,TCGA,Mesothelioma,Primary Tumor,Mesothelioma,-4.293
GTEX-XPVG-1026-SM-4B64Y,GTEX,Lung,Normal Tissue,Lung,6.273
GTEX-WYBS-1026-SM-4ONCY,GTEX,Adipose - Visceral (Omentum),Normal Tissue,Adipose - Visceral (Omentum),-0.5125
GTEX-ZPCL-1426-SM-57WEC,GTEX,Esophagus - Mucosa,Normal Tissue,Esophagus - Mucosa,7.164
TCGA-21-1083-01,TCGA,Lung Squamous Cell Carcinoma,Primary Tumor,Lung Squamous Cell Carcinoma,6.248
TCGA-AJ-A3BI-01,TCGA,Uterine Corpus Endometrioid Carcinoma,Primary Tumor,Uterine Corpus Endometrioid Carcinoma,7.385
GTEX-Y114-2626-SM-4TT8Y,GTEX,Nerve - Tibial,Normal Tissue,Nerve - Tibial,-1.431
TARGET-30-PAPTFZ-01,TARGET,Neuroblastoma,Primary Solid Tumor,Neuroblastoma,-0.3566
GTEX-ZZPU-0326-SM-5N9BJ,GTEX,Adipose - Visceral (Omentum),Normal Tissue,Adipose - Visceral (Omentum),-2.635
GTEX-VJYA-0826-SM-4KL1M,GTEX,Pancreas,Normal Tissue,Pancreas,5.342
TCGA-FB-A545-01,TCGA,Pancreatic Adenocarcinoma,Primary Tumor,Pancreatic Adenocarcinoma,8.403
TCGA-VQ-A927-01,TCGA,Stomach Adenocarcinoma,Primary Tumor,Stomach Adenocarcinoma,6.289
TCGA-44-2657-11,TCGA,Lung Adenocarcinoma,Solid Tissue Normal,Lung Adenocarcinoma,6.827
GTEX-ZPU1-2126-SM-57WED,GTEX,Testis,Normal Tissue,Testis,-0.9132
GTEX-X585-0008-SM-46MU4,GTEX,Cells - Transformed Fibroblasts,Cell Line,Cells - Transformed Fibroblasts,0.1257
TCGA-EB-A41A-01,TCGA,Skin Cutaneous Melanoma,Primary Tumor,Skin Cutaneous Melanoma,-0.8339
TCGA-55-6982-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,9.934
GTEX-S4UY-0426-SM-3K2AF,GTEX,Artery - Tibial,Normal Tissue,Artery - Tibial,-3.308
GTEX-12WSD-2826-SM-59HKT,GTEX,Uterus,Normal Tissue,Uterus,-0.0725
GTEX-NPJ7-0011-R6a-SM-2I3G7,GTEX,Brain - Nucleus Accumbens (Basal Ganglia),Normal Tissue,Brain - Nucleus Accumbens (Basal Ganglia),-1.994
GTEX-UPIC-1726-SM-4IHKG,GTEX,Colon - Transverse,Normal Tissue,Colon - Transverse,8.52
GTEX-WZTO-0626-SM-4PQYY,GTEX,Liver,Normal Tissue,Liver,-0.4521
TCGA-E2-A153-11,TCGA,Breast Invasive Carcinoma,Solid Tissue Normal,Breast Invasive Carcinoma,7.481
GTEX-WHSB-0005-SM-3LK7C,GTEX,Whole Blood,Normal Tissue,Whole Blood,-5.574
GTEX-Y9LG-0226-SM-4VBS4,GTEX,Artery - Aorta,Normal Tissue,Artery - Aorta,-0.3566
GTEX-13PVQ-0726-SM-5L3GI,GTEX,Thyroid,Normal Tissue,Thyroid,7.625
GTEX-OHPL-1626-SM-2HMIR,GTEX,Muscle - Skeletal,Normal Tissue,Muscle - Skeletal,-4.035
GTEX-POYW-0006-SM-2XCF4,GTEX,Whole Blood,Normal Tissue,Whole Blood,-2.114
TCGA-DD-A3A5-11,TCGA,Liver Hepatocellular Carcinoma,Solid Tissue Normal,Liver Hepatocellular Carcinoma,1.39
TCGA-BA-A8YP-01,TCGA,Head & Neck Squamous Cell Carcinoma,Primary Tumor,Head & Neck Squamous Cell Carcinoma,6.995
GTEX-12WSN-2726-SM-5LZUK,GTEX,Artery - Tibial,Normal Tissue,Artery - Tibial,-1.181
TCGA-RC-A7SB-01,TCGA,Liver Hepatocellular Carcinoma,Primary Tumor,Liver Hepatocellular Carcinoma,1.439
GTEX-12584-0926-SM-5FQTN,GTEX,Heart - Left Ventricle,Normal Tissue,Heart - Left Ventricle,-2.548
GTEX-132AR-2426-SM-5IFFD,GTEX,Stomach,Normal Tissue,Stomach,4.69
TCGA-CM-6164-01,TCGA,Colon Adenocarcinoma,Primary Tumor,Colon Adenocarcinoma,9.97
GTEX-132Q8-3026-SM-5PNVG,GTEX,Brain - Cortex,Normal Tissue,Brain - Cortex,-0.7346
TCGA-09-0369-01,TCGA,Ovarian Serous Cystadenocarcinoma,Primary Tumor,Ovarian Serous Cystadenocarcinoma,8.204
GTEX-RM2N-0626-SM-48FD6,GTEX,Esophagus - Muscularis,Normal Tissue,Esophagus - Muscularis,-0.9971
TARGET-50-PAJMIZ-01,TARGET,Wilms Tumor,Primary Solid Tumor,Wilms Tumor,4.721
GTEX-ZYW4-1426-SM-5SIAX,GTEX,Esophagus - Muscularis,Normal Tissue,Esophagus - Muscularis,-0.8863
TCGA-EA-A44S-01,TCGA,Cervical & Endocervical Cancer,Primary Tumor,Cervical & Endocervical Cancer,6.672
GTEX-ZT9X-1826-SM-57WDU,GTEX,Muscle - Skeletal,Normal Tissue,Muscle - Skeletal,-1.026
TCGA-EL-A4JZ-01,TCGA,Thyroid Carcinoma,Primary Tumor,Thyroid Carcinoma,8.152
GTEX-UJMC-0526-SM-3GAE3,GTEX,Heart - Left Ventricle,Normal Tissue,Heart - Left Ventricle,-2.727
TCGA-IN-7808-01,TCGA,Stomach Adenocarcinoma,Primary Tumor,Stomach Adenocarcinoma,7.165
GTEX-RU1J-0006-SM-2TF6M,GTEX,Whole Blood,Normal Tissue,Whole Blood,-2.635
TCGA-CV-A6K0-01,TCGA,Head & Neck Squamous Cell Carcinoma,Primary Tumor,Head & Neck Squamous Cell Carcinoma,6.191
GTEX-Y114-1926-SM-4TT8J,GTEX,Vagina,Normal Tissue,Vagina,-2.114
TCGA-24-1419-01,TCGA,Ovarian Serous Cystadenocarcinoma,Primary Tumor,Ovarian Serous Cystadenocarcinoma,7.434
TCGA-S6-A8JY-01,TCGA,Testicular Germ Cell Tumor,Primary Tumor,Testicular Germ Cell Tumor,2.177
GTEX-ZF3C-2026-SM-4WWB5,GTEX,Pancreas,Normal Tissue,Pancreas,5.563
TARGET-50-PAJLTI-01,TARGET,Wilms Tumor,Primary Solid Tumor,Wilms Tumor,4.866
GTEX-X4EP-2926-SM-3P5YQ,GTEX,Breast - Mammary Tissue,Normal Tissue,Breast - Mammary Tissue,7.207
TCGA-N9-A4Q1-01,TCGA,Uterine Carcinosarcoma,Primary Tumor,Uterine Carcinosarcoma,2.362
TCGA-A4-A6HP-01,TCGA,Kidney Papillary Cell Carcinoma,Primary Tumor,Kidney Papillary Cell Carcinoma,8.714
TCGA-16-0846-01,TCGA,Glioblastoma Multiforme,Primary Tumor,Glioblastoma Multiforme,-2.315
TCGA-DD-A11A-11,TCGA,Liver Hepatocellular Carcinoma,Solid Tissue Normal,Liver Hepatocellular Carcinoma,2.224
TCGA-12-5299-01,TCGA,Glioblastoma Multiforme,Primary Tumor,Glioblastoma Multiforme,-1.47
TARGET-50-PAJPAR-01,TARGET,Wilms Tumor,Primary Solid Tumor,Wilms Tumor,6.005
TCGA-29-1761-01,TCGA,Ovarian Serous Cystadenocarcinoma,Primary Tumor,Ovarian Serous Cystadenocarcinoma,7.514
TCGA-HC-A8D0-01,TCGA,Prostate Adenocarcinoma,Primary Tumor,Prostate Adenocarcinoma,7.458
TCGA-CC-A7IF-01,TCGA,Liver Hepatocellular Carcinoma,Primary Tumor,Liver Hepatocellular Carcinoma,-0.7346
GTEX-NPJ7-2726-SM-2I3FT,GTEX,Brain - Cortex,Normal Tissue,Brain - Cortex,-0.7834
TCGA-33-4587-11,TCGA,Lung Squamous Cell Carcinoma,Solid Tissue Normal,Lung Squamous Cell Carcinoma,6.221
TARGET-20-PARXMP-09,TARGET,Acute Myeloid Leukemia,Primary Blood Derived Cancer - Bone Marrow,Acute Myeloid Leukemia,-1.994
TCGA-P5-A5EX-01,TCGA,Brain Lower Grade Glioma,Primary Tumor,Brain Lower Grade Glioma,-1.732
TCGA-J8-A3O2-06,TCGA,Thyroid Carcinoma,Metastatic,Thyroid Carcinoma,9.135
TCGA-EJ-7315-11,TCGA,Prostate Adenocarcinoma,Solid Tissue Normal,Prostate Adenocarcinoma,7.714
GTEX-13OVJ-0011-R9b-SM-5L3GD,GTEX,Brain - Spinal Cord (Cervical C-1),Normal Tissue,Brain - Spinal Cord (Cervical C-1),-2.315
TCGA-DJ-A4V2-01,TCGA,Thyroid Carcinoma,Primary Tumor,Thyroid Carcinoma,9.316
TCGA-HT-8563-01,TCGA,Brain Lower Grade Glioma,Primary Tumor,Brain Lower Grade Glioma,-2.388
GTEX-ZA64-2226-SM-5Q5A9,GTEX,Artery - Tibial,Normal Tissue,Artery - Tibial,-2.178
GTEX-XUW1-1726-SM-4BOOZ,GTEX,Pancreas,Normal Tissue,Pancreas,5.106
GTEX-12BJ1-1426-SM-5BC5Q,GTEX,Esophagus - Muscularis,Normal Tissue,Esophagus - Muscularis,-0.1345
GTEX-131XE-2026-SM-5LZW1,GTEX,Adipose - Visceral (Omentum),Normal Tissue,Adipose - Visceral (Omentum),-2.826
GTEX-111FC-0326-SM-5GZZ1,GTEX,Muscle - Skeletal,Normal Tissue,Muscle - Skeletal,-2.053
TCGA-E9-A3HO-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,6.5
GTEX-XAJ8-1026-SM-47JY9,GTEX,Muscle - Skeletal,Normal Tissue,Muscle - Skeletal,-4.293
GTEX-XLM4-0011-R10A-SM-4AT5P,GTEX,Brain - Frontal Cortex (Ba9),Normal Tissue,Brain - Frontal Cortex (Ba9),-0.6873
TCGA-EY-A72D-01,TCGA,Uterine Corpus Endometrioid Carcinoma,Primary Tumor,Uterine Corpus Endometrioid Carcinoma,9.517
TCGA-A6-A567-01,TCGA,Colon Adenocarcinoma,Primary Tumor,Colon Adenocarcinoma,8.405
TCGA-58-A46N-01,TCGA,Lung Squamous Cell Carcinoma,Primary Tumor,Lung Squamous Cell Carcinoma,6.227
TCGA-D3-A3ML-06,TCGA,Skin Cutaneous Melanoma,Metastatic,Skin Cutaneous Melanoma,-2.548
TCGA-BH-A0B0-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,7.078
TCGA-IS-A3K8-01,TCGA,Sarcoma,Primary Tumor,Sarcoma,-1.685
