sample,donor_id,study,cell_type,group,g,tot,cpm,expr
Adams_Kaminski_2020_001C,Adams_Kaminski_2020_001C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),13.0,43112.0,301.54017442939323,5.712214076683742
Adams_Kaminski_2020_001C,Adams_Kaminski_2020_001C,Adams_Kaminski_2020,club cell,Epithelial (normal lung),7.0,17279.0,405.1160368076856,6.006638923712318
Adams_Kaminski_2020_001C,Adams_Kaminski_2020_001C,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),30.0,83743.0,358.2388975794992,5.883987620040383
Adams_Kaminski_2020_001C,Adams_Kaminski_2020_001C,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),1.0,7296.0,137.06140350877192,4.927698539157105
Adams_Kaminski_2020_001C,Adams_Kaminski_2020_001C,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),10.0,51343.0,194.76851761681243,5.276932928694668
Adams_Kaminski_2020_002C,Adams_Kaminski_2020_002C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),5.0,18985.0,263.3658151171978,5.577333807323546
Adams_Kaminski_2020_002C,Adams_Kaminski_2020_002C,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),4.0,10017.0,399.32115403813515,5.992267110063498
Adams_Kaminski_2020_002C,Adams_Kaminski_2020_002C,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),36.0,166125.0,216.70428893905193,5.383137669190451
Adams_Kaminski_2020_003C,Adams_Kaminski_2020_003C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),46.0,107008.0,429.8744019138756,6.06581663676267
Adams_Kaminski_2020_003C,Adams_Kaminski_2020_003C,Adams_Kaminski_2020,club cell,Epithelial (normal lung),7.0,40748.0,171.78757239619122,5.152062934780137
Adams_Kaminski_2020_003C,Adams_Kaminski_2020_003C,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),3.0,8231.0,364.47576236180294,5.901199963343388
Adams_Kaminski_2020_003C,Adams_Kaminski_2020_003C,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),6.0,75617.0,79.3472367324808,4.386357701206108
Adams_Kaminski_2020_003C,Adams_Kaminski_2020_003C,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),69.0,227137.0,303.7814182629867,5.719594858250017
Adams_Kaminski_2020_8CO,Adams_Kaminski_2020_8CO,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),3.0,51762.0,57.9575750550597,4.076818118389748
Adams_Kaminski_2020_8CO,Adams_Kaminski_2020_8CO,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),16.0,82143.0,194.78226994387833,5.277003174126466
Adams_Kaminski_2020_8CO,Adams_Kaminski_2020_8CO,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),29.0,126172.0,229.8449735281996,5.441746374958959
Adams_Kaminski_2020_022C-a,Adams_Kaminski_2020_222C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),49.0,108438.0,451.8711152916874,6.115607571296447
Adams_Kaminski_2020_022C-a,Adams_Kaminski_2020_222C,Adams_Kaminski_2020,club cell,Epithelial (normal lung),20.0,58860.0,339.78933061501874,5.831264487584276
Adams_Kaminski_2020_022C-a,Adams_Kaminski_2020_222C,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),32.0,93688.0,341.5592178293912,5.836444541528955
Adams_Kaminski_2020_022C-a,Adams_Kaminski_2020_222C,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),122.0,378517.0,322.31049067809374,5.778613132946336
Adams_Kaminski_2020_022C-a,Adams_Kaminski_2020_222C,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),63.0,144772.0,435.1670212472025,6.07802524624911
Adams_Kaminski_2020_022C-b,Adams_Kaminski_2020_222C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),34.0,60782.0,559.3761310914415,6.328608220928069
Adams_Kaminski_2020_022C-b,Adams_Kaminski_2020_222C,Adams_Kaminski_2020,club cell,Epithelial (normal lung),5.0,18428.0,271.32624267419146,5.607000769160857
Adams_Kaminski_2020_022C-b,Adams_Kaminski_2020_222C,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),41.0,114627.0,357.6818725082223,5.882435846623979
Adams_Kaminski_2020_022C-b,Adams_Kaminski_2020_222C,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),184.0,386434.0,476.14857905877847,6.167827928882885
Adams_Kaminski_2020_022C-b,Adams_Kaminski_2020_222C,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),53.0,130507.0,406.1084846023585,6.009079696859814
Adams_Kaminski_2020_23CO,Adams_Kaminski_2020_23CO,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),7.0,26221.0,266.9615956675947,5.590843670494686
Adams_Kaminski_2020_23CO,Adams_Kaminski_2020_23CO,Adams_Kaminski_2020,club cell,Epithelial (normal lung),9.0,21969.0,409.6681687832855,6.017785513170173
Adams_Kaminski_2020_23CO,Adams_Kaminski_2020_23CO,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),57.0,100931.0,564.7422496557055,6.338138585181111
Adams_Kaminski_2020_23CO,Adams_Kaminski_2020_23CO,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),8.0,12262.0,652.42211710977,6.482223347859126
Adams_Kaminski_2020_23CO,Adams_Kaminski_2020_23CO,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),37.0,73167.0,505.6924569819727,6.227904225814857
Adams_Kaminski_2020_034C,Adams_Kaminski_2020_034C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),4.0,16292.0,245.51927326295115,5.507440178105562
Adams_Kaminski_2020_034C,Adams_Kaminski_2020_034C,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),0.0,918.0,0.0,0.0
Adams_Kaminski_2020_034C,Adams_Kaminski_2020_034C,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),16.0,55249.0,289.59800177378776,5.6719408749039655
Adams_Kaminski_2020_052CO-a,Adams_Kaminski_2020_052CO,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),21.0,110766.0,189.58886300850443,5.250118558287876
Adams_Kaminski_2020_052CO-a,Adams_Kaminski_2020_052CO,Adams_Kaminski_2020,club cell,Epithelial (normal lung),2.0,10280.0,194.5525291828794,5.27582903480686
Adams_Kaminski_2020_052CO-a,Adams_Kaminski_2020_052CO,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),169.0,406140.0,416.1126705077067,6.033356378367274
Adams_Kaminski_2020_052CO-a,Adams_Kaminski_2020_052CO,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),64.0,382954.0,167.1218997581955,5.12468931008613
Adams_Kaminski_2020_052CO-a,Adams_Kaminski_2020_052CO,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),15.0,63474.0,236.31723225257585,5.469397778810113
Adams_Kaminski_2020_056CO,Adams_Kaminski_2020_056CO,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),18.0,180233.0,99.87072289758258,4.613839725667242
Adams_Kaminski_2020_056CO,Adams_Kaminski_2020_056CO,Adams_Kaminski_2020,club cell,Epithelial (normal lung),1.0,14959.0,66.8493883280968,4.217290371179031
Adams_Kaminski_2020_056CO,Adams_Kaminski_2020_056CO,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),12.0,40050.0,299.62546816479403,5.705865198163742
Adams_Kaminski_2020_056CO,Adams_Kaminski_2020_056CO,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),8.0,56652.0,141.2130198404293,4.957326073237052
Adams_Kaminski_2020_056CO,Adams_Kaminski_2020_056CO,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),79.0,471425.0,167.57702709869014,5.127392779455303
Adams_Kaminski_2020_065C,Adams_Kaminski_2020_065C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),1.0,22321.0,44.800860176515386,3.8243028720903998
Adams_Kaminski_2020_065C,Adams_Kaminski_2020_065C,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),0.0,8477.0,0.0,0.0
Adams_Kaminski_2020_065C,Adams_Kaminski_2020_065C,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),22.0,131117.0,167.78907388057993,5.12864985187128
Adams_Kaminski_2020_081C,Adams_Kaminski_2020_081C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),2.0,10268.0,194.77989871445266,5.276991062489462
Adams_Kaminski_2020_081C,Adams_Kaminski_2020_081C,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),0.0,10593.0,0.0,0.0
Adams_Kaminski_2020_081C,Adams_Kaminski_2020_081C,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),0.0,14349.0,0.0,0.0
Adams_Kaminski_2020_081C,Adams_Kaminski_2020_081C,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),2.0,8300.0,240.96385542168673,5.48878835724008
Adams_Kaminski_2020_084C,Adams_Kaminski_2020_084C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),0.0,1650.0,0.0,0.0
Adams_Kaminski_2020_084C,Adams_Kaminski_2020_084C,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),0.0,4168.0,0.0,0.0
Adams_Kaminski_2020_084C,Adams_Kaminski_2020_084C,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),3.0,13210.0,227.1006813020439,5.429787116142716
Adams_Kaminski_2020_084C,Adams_Kaminski_2020_084C,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),4.0,8333.0,480.0192007680307,6.175907187745696
Adams_Kaminski_2020_092C,Adams_Kaminski_2020_092C,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),0.0,3745.0,0.0,0.0
Adams_Kaminski_2020_92C,Adams_Kaminski_2020_192C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),0.0,952.0,0.0,0.0
Adams_Kaminski_2020_92C,Adams_Kaminski_2020_192C,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),5.0,25789.0,193.88111210205903,5.272389691104485
Adams_Kaminski_2020_098C-a,Adams_Kaminski_2020_098C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),31.0,83354.0,371.9077668738153,5.921331115269868
Adams_Kaminski_2020_098C-a,Adams_Kaminski_2020_098C,Adams_Kaminski_2020,club cell,Epithelial (normal lung),45.0,40335.0,1115.6563778356265,7.018094122230011
Adams_Kaminski_2020_098C-a,Adams_Kaminski_2020_098C,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),1.0,18984.0,52.67593763168985,3.9829648122976877
Adams_Kaminski_2020_098C-a,Adams_Kaminski_2020_098C,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),80.0,177271.0,451.2864484320616,6.114315714575872
Adams_Kaminski_2020_098C-a,Adams_Kaminski_2020_098C,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),170.0,361717.0,469.9806755004603,6.154817064513276
Adams_Kaminski_2020_098C-b,Adams_Kaminski_2020_098C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),21.0,65580.0,320.2195791399817,5.772124936441444
Adams_Kaminski_2020_098C-b,Adams_Kaminski_2020_098C,Adams_Kaminski_2020,club cell,Epithelial (normal lung),35.0,66139.0,529.1885271927305,6.273232654980163
Adams_Kaminski_2020_098C-b,Adams_Kaminski_2020_098C,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),8.0,6800.0,1176.470588235294,7.07112384743449
Adams_Kaminski_2020_098C-b,Adams_Kaminski_2020_098C,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),45.0,138134.0,325.7706285201326,5.789258482937371
Adams_Kaminski_2020_098C-b,Adams_Kaminski_2020_098C,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),169.0,353326.0,478.3118140187815,6.1723513543466515
Adams_Kaminski_2020_133C-a,Adams_Kaminski_2020_133C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),143.0,551712.0,259.19320225044953,5.561424440642786
Adams_Kaminski_2020_133C-a,Adams_Kaminski_2020_133C,Adams_Kaminski_2020,club cell,Epithelial (normal lung),31.0,114347.0,271.1046201474459,5.60618662523875
Adams_Kaminski_2020_133C-a,Adams_Kaminski_2020_133C,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),75.0,316983.0,236.60574857326733,5.470612781527745
Adams_Kaminski_2020_133C-a,Adams_Kaminski_2020_133C,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),3474.0,10907938.0,318.48365841463345,5.766706125137479
Adams_Kaminski_2020_133C-a,Adams_Kaminski_2020_133C,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),238.0,481100.0,494.69964664310953,6.205970192182033
Adams_Kaminski_2020_137C,Adams_Kaminski_2020_137C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),2.0,18192.0,109.93843447669306,4.708975403086139
Adams_Kaminski_2020_137C,Adams_Kaminski_2020_137C,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),0.0,3549.0,0.0,0.0
Adams_Kaminski_2020_137C,Adams_Kaminski_2020_137C,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),4.0,15921.0,251.24049996859492,5.530382997349474
Adams_Kaminski_2020_137C,Adams_Kaminski_2020_137C,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),21.0,35123.0,597.8988127437862,6.395092656873705
Adams_Kaminski_2020_137C-a,Adams_Kaminski_2020_1372C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),57.0,149484.0,381.3117122902786,5.9462362766188495
Adams_Kaminski_2020_137C-a,Adams_Kaminski_2020_1372C,Adams_Kaminski_2020,club cell,Epithelial (normal lung),7.0,15621.0,448.1147173676461,6.107278350359783
Adams_Kaminski_2020_137C-a,Adams_Kaminski_2020_1372C,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),20.0,70859.0,282.25066681720034,5.646332254070217
Adams_Kaminski_2020_137C-a,Adams_Kaminski_2020_1372C,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),68.0,216738.0,313.7428600430012,5.7517559881334055
Adams_Kaminski_2020_137C-a,Adams_Kaminski_2020_1372C,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),70.0,228446.0,306.41814695814327,5.728208863058052
Adams_Kaminski_2020_137C-b,Adams_Kaminski_2020_1372C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),42.0,109803.0,382.5032102948007,5.949347991814779
Adams_Kaminski_2020_137C-b,Adams_Kaminski_2020_1372C,Adams_Kaminski_2020,club cell,Epithelial (normal lung),6.0,10862.0,552.3844595838704,6.316052985252474
Adams_Kaminski_2020_137C-b,Adams_Kaminski_2020_1372C,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),28.0,75281.0,371.9397988868373,5.921417009531678
Adams_Kaminski_2020_137C-b,Adams_Kaminski_2020_1372C,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),116.0,299575.0,387.21522156388215,5.96155988058928
Adams_Kaminski_2020_137C-b,Adams_Kaminski_2020_1372C,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),119.0,266908.0,445.846508909437,6.102215155129179
Adams_Kaminski_2020_137CO,Adams_Kaminski_2020_137CO,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),1.0,16818.0,59.46010227137591,4.10198368090423
Adams_Kaminski_2020_137CO,Adams_Kaminski_2020_137CO,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),5.0,20816.0,240.19984627209837,5.4856258275066345
Adams_Kaminski_2020_152CO,Adams_Kaminski_2020_152CO,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),3.0,20775.0,144.4043321299639,4.979518359222034
Adams_Kaminski_2020_152CO-a,Adams_Kaminski_2020_152CO,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),41.0,138680.0,295.6446495529276,5.692534956313875
Adams_Kaminski_2020_152CO-a,Adams_Kaminski_2020_152CO,Adams_Kaminski_2020,club cell,Epithelial (normal lung),34.0,53233.0,638.7015573046793,6.461001750882829
Adams_Kaminski_2020_152CO-a,Adams_Kaminski_2020_152CO,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),26.0,77912.0,333.7098264708902,5.813263966826917
Adams_Kaminski_2020_152CO-a,Adams_Kaminski_2020_152CO,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),90.0,350741.0,256.599599134404,5.551406438073724
Adams_Kaminski_2020_152CO-a,Adams_Kaminski_2020_152CO,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),7.0,32498.0,215.39787063819313,5.377118706989501
Adams_Kaminski_2020_153CO-a,Adams_Kaminski_2020_153CO,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),8.0,30857.0,259.2604595391645,5.5616828970396845
Adams_Kaminski_2020_153CO-a,Adams_Kaminski_2020_153CO,Adams_Kaminski_2020,club cell,Epithelial (normal lung),2.0,2787.0,717.6175098672408,6.57732924102219
Adams_Kaminski_2020_153CO-a,Adams_Kaminski_2020_153CO,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),3.0,5311.0,564.865373752589,6.338356194350266
Adams_Kaminski_2020_153CO-a,Adams_Kaminski_2020_153CO,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),5.0,10233.0,488.615264340858,6.193619907878904
Adams_Kaminski_2020_153CO-a,Adams_Kaminski_2020_153CO,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),36.0,62515.0,575.8617931696393,6.357602711247947
Adams_Kaminski_2020_153CO-b,Adams_Kaminski_2020_153CO,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),9.0,25550.0,352.2504892367906,5.867177406522745
Adams_Kaminski_2020_153CO-b,Adams_Kaminski_2020_153CO,Adams_Kaminski_2020,club cell,Epithelial (normal lung),9.0,25140.0,357.99522673031026,5.883309092384037
Adams_Kaminski_2020_153CO-b,Adams_Kaminski_2020_153CO,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),0.0,6206.0,0.0,0.0
Adams_Kaminski_2020_153CO-b,Adams_Kaminski_2020_153CO,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),24.0,70542.0,340.2228459641065,5.832535771066774
Adams_Kaminski_2020_160C,Adams_Kaminski_2020_160C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),72.0,181431.0,396.8450816012699,5.986062687302161
Adams_Kaminski_2020_160C,Adams_Kaminski_2020_160C,Adams_Kaminski_2020,club cell,Epithelial (normal lung),4.0,17504.0,228.51919561243145,5.4359866670156585
Adams_Kaminski_2020_160C,Adams_Kaminski_2020_160C,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),7.0,27559.0,254.000508001016,5.5412655373172885
Adams_Kaminski_2020_160C,Adams_Kaminski_2020_160C,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),34.0,103682.0,327.92577303678553,5.795832111440781
Adams_Kaminski_2020_160C,Adams_Kaminski_2020_160C,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),96.0,322281.0,297.87669766446055,5.700031105944575
Adams_Kaminski_2020_178CO,Adams_Kaminski_2020_178CO,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),21.0,117441.0,178.81319130456995,5.191918485890097
Adams_Kaminski_2020_178CO,Adams_Kaminski_2020_178CO,Adams_Kaminski_2020,club cell,Epithelial (normal lung),3.0,17404.0,172.37416685819352,5.155452073191256
Adams_Kaminski_2020_178CO,Adams_Kaminski_2020_178CO,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),11.0,62928.0,174.80294940249172,5.169363762143858
Adams_Kaminski_2020_178CO,Adams_Kaminski_2020_178CO,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),10.0,74318.0,134.55690411475013,4.909391508729099
Adams_Kaminski_2020_178CO,Adams_Kaminski_2020_178CO,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),44.0,145947.0,301.4793041309517,5.712012859034381
Adams_Kaminski_2020_184CO-a,Adams_Kaminski_2020_184CO,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),31.0,133420.0,232.34897316744116,5.45253507198949
Adams_Kaminski_2020_184CO-a,Adams_Kaminski_2020_184CO,Adams_Kaminski_2020,club cell,Epithelial (normal lung),12.0,33841.0,354.5994503708519,5.873804957999781
Adams_Kaminski_2020_184CO-a,Adams_Kaminski_2020_184CO,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),3.0,20922.0,143.38973329509605,4.972516124866636
Adams_Kaminski_2020_184CO-a,Adams_Kaminski_2020_184CO,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),12.0,79922.0,150.1463927329146,5.018248855462115
Adams_Kaminski_2020_184CO-a,Adams_Kaminski_2020_184CO,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),72.0,277813.0,259.1671376069514,5.561324261434175
Adams_Kaminski_2020_184CO-b,Adams_Kaminski_2020_184CO,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),15.0,32472.0,461.93643754619364,6.137589760744426
Adams_Kaminski_2020_184CO-b,Adams_Kaminski_2020_184CO,Adams_Kaminski_2020,club cell,Epithelial (normal lung),14.0,24976.0,560.5381165919282,6.33067965538641
Adams_Kaminski_2020_184CO-b,Adams_Kaminski_2020_184CO,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),7.0,10387.0,673.9193222297101,6.514593161106481
Adams_Kaminski_2020_184CO-b,Adams_Kaminski_2020_184CO,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),10.0,91162.0,109.69482898576162,4.706777126661147
Adams_Kaminski_2020_184CO-b,Adams_Kaminski_2020_184CO,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),68.0,223956.0,303.6310703888264,5.7191014391619275
Adams_Kaminski_2020_186CO-b,Adams_Kaminski_2020_186CO,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),1.0,6945.0,143.98848092152627,4.976654297344389
Adams_Kaminski_2020_186CO-b,Adams_Kaminski_2020_186CO,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),1.0,2078.0,481.23195380173246,6.178425230249441
Adams_Kaminski_2020_186CO-b,Adams_Kaminski_2020_186CO,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),51.0,185981.0,274.22156026690897,5.617576446983587
Adams_Kaminski_2020_192C-a,Adams_Kaminski_2020_192C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),65.0,333560.0,194.86749010672744,5.277438359707497
Adams_Kaminski_2020_192C-a,Adams_Kaminski_2020_192C,Adams_Kaminski_2020,club cell,Epithelial (normal lung),13.0,26885.0,483.54100799702434,6.183202067577812
Adams_Kaminski_2020_192C-a,Adams_Kaminski_2020_192C,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),56.0,168543.0,332.2594234112363,5.808921235962058
Adams_Kaminski_2020_192C-a,Adams_Kaminski_2020_192C,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),41.0,73021.0,561.4823133071309,6.332359690574688
Adams_Kaminski_2020_192C-a,Adams_Kaminski_2020_192C,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),197.0,463673.0,424.86838785092084,6.054130349828128
Adams_Kaminski_2020_192CO,Adams_Kaminski_2020_192CO,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),18.0,32223.0,558.6072060329578,6.327235119822351
Adams_Kaminski_2020_192CO,Adams_Kaminski_2020_192CO,Adams_Kaminski_2020,club cell,Epithelial (normal lung),4.0,25714.0,155.55728396982187,5.053421974762977
Adams_Kaminski_2020_192CO,Adams_Kaminski_2020_192CO,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),26.0,49444.0,525.8474233476256,6.266910987358101
Adams_Kaminski_2020_192CO,Adams_Kaminski_2020_192CO,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),5.0,16713.0,299.1683120923832,5.704343357639872
Adams_Kaminski_2020_192CO,Adams_Kaminski_2020_192CO,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),33.0,82189.0,401.5135845429437,5.9977288467063365
Adams_Kaminski_2020_192CO-a,Adams_Kaminski_2020_192CO,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),16.0,62999.0,253.97228527436943,5.541154854053211
Adams_Kaminski_2020_192CO-a,Adams_Kaminski_2020_192CO,Adams_Kaminski_2020,club cell,Epithelial (normal lung),23.0,39198.0,586.7646308485126,6.3763265800895335
Adams_Kaminski_2020_192CO-a,Adams_Kaminski_2020_192CO,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),13.0,35668.0,364.472356173601,5.901190643425556
Adams_Kaminski_2020_192CO-a,Adams_Kaminski_2020_192CO,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),150.0,352299.0,425.7746970613031,6.056256232434224
Adams_Kaminski_2020_192CO-b,Adams_Kaminski_2020_192CO,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),19.0,63108.0,301.0711795651898,5.7106626835278895
Adams_Kaminski_2020_192CO-b,Adams_Kaminski_2020_192CO,Adams_Kaminski_2020,club cell,Epithelial (normal lung),15.0,41962.0,357.4662790143463,5.881834594288843
Adams_Kaminski_2020_192CO-b,Adams_Kaminski_2020_192CO,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),24.0,32339.0,742.137975818671,6.610881728444724
Adams_Kaminski_2020_192CO-b,Adams_Kaminski_2020_192CO,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),85.0,344669.0,246.6134175107132,5.511868729611641
Adams_Kaminski_2020_193CO-a,Adams_Kaminski_2020_193CO,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),50.0,174309.0,286.84692127199395,5.662428815466197
Adams_Kaminski_2020_193CO-a,Adams_Kaminski_2020_193CO,Adams_Kaminski_2020,club cell,Epithelial (normal lung),9.0,25334.0,355.25380911028657,5.8756434237651
