scFv,CLDN4,CLDN1,CLDN10,CLDN11,CLDN12,CLDN14,CLDN15,CLDN16,CLDN17,CLDN18,CLDN18.2,CLDN19,CLDN2,CLDN20,CLDN22,CLDN23,CLDN24,CLDN25,CLDN3,CLDN34,CLDN5,CLDN6,CLDN7,CLDN8,CLDN9
scfv_0_2,0.3469124086695279,0.2681697711785024,0.3596048029219981,0.4884216192132264,0.3513908172767958,0.3116267182221863,0.863848041390537,0.485032844387,0.3634118158931032,0.3318740555419275,0.4279447179950478,0.412702659514929,0.3169243490921676,0.2489805354902539,0.4976769433428014,0.2275659911923192,0.5237658591542238,0.4595311187210888,0.5443036468961041,0.3219405465332729,0.1292403637833361,0.7575753045130014,0.3372587637859786,0.3054292534473001,0.7098952898339805
scfv_0_4,0.196178897404386,0.5278717059432446,0.3865026851337013,0.5852060681373281,0.3637444758546877,0.3310538064330625,0.4991572655696356,0.5128334302192562,0.4372252485340859,0.3357446949736036,0.5742434911672658,0.7294034157642911,0.3452582466338021,0.8457778911329652,0.3734379785611853,0.2928367710743768,0.3731747911873577,0.3665641085028238,0.6596793789281652,0.4164375582287972,0.1456653958978944,0.7818230834087998,0.5749350618587287,0.3218645881213131,0.3529040873488017
scfv_0_8,0.2302501143243703,0.304774060569041,0.2741395891448385,0.1841369208774473,0.3795082388035563,0.1734409149729923,0.3658082578483036,0.4887024282090849,0.4040259634232688,0.2622668515837043,0.2939345076939812,0.2809647579273453,0.762343403681481,0.6778302118259536,0.3297977148457621,0.1785665836328668,0.3483807416389757,0.3606083189621685,0.1954301234448194,0.3666782730404343,0.1390685134252451,0.7178798973383167,0.2296392665063621,0.2166619315940786,0.2851942303874958
scfv_23_7,0.4707635829768827,0.2646998481394964,0.7070000213327872,0.6826624252879812,0.3493129110356648,0.8288869470928909,0.6041820783809686,0.4647513566278385,0.5539188612819217,0.3835055883745131,0.4016229035092713,0.3126468615462595,0.3169550754332604,0.4100673132256251,0.4343930073190922,0.1154238260052342,0.4433211161487376,0.4087598046646316,0.3117514996009634,0.4411668371102605,0.468779855656576,0.4347404705887762,0.5461194850749799,0.3976237624099624,0.2803683959932342
scfv_25_2,0.6246149268923116,0.6299990399073983,0.7813657757570515,0.2657027432989383,0.3211267007421325,0.2645753045130014,0.3509105096010425,0.2599904626214834,0.6416857823424021,0.2993280618450503,0.3227563213541063,0.194128889958621,0.4300394300659846,0.1726006340244086,0.3538769205204578,0.256026072138792,0.3481226072212299,0.3491956268593545,0.3029941601617415,0.4654298849571954,0.5892933410457044,0.5211395891448385,0.3840711578832076,0.793395908567943,0.5307788557767136
scfv_25_4,0.3969622496608656,0.2954871199948256,0.296219842408611,0.145672753240245,0.7409597247736993,0.446933112123445,0.5117314200126322,0.3319139796973107,0.2885368388808617,0.2510103583059104,0.1380947645521729,0.2782878084521247,0.4804165630114448,0.3682967748515438,0.3427668912652589,0.4426227223733687,0.2548711100413789,0.1359545672923903,0.3712448115500116,0.7800729896685763,0.5384777040536952,0.8155860994081743,0.2299038102988503,0.7005200852460255,0.7817414859613474
scfv_37_1,0.3027958330280024,0.3946229115503165,0.4681624252879811,0.3885869114184404,0.491737084565355,0.6705684068957124,0.4217802804601722,0.3580869535881984,0.7489313732251959,0.3445945679712943,0.6839602459661688,0.2302591061999417,0.3686674564139757,0.2564290789689272,0.5152264891396803,0.272959594748915,0.5496594371321879,0.497412087014096,0.5604777040536952,0.2303264606262527,0.3655716977917278,0.7530965674110578,0.4854651313026127,0.6765894104068177,0.7451577621649057
scfv_39_0,0.3502461317793696,0.4950018730437119,0.3733306541202821,0.4761272261778106,0.5471828535701868,0.3075365863133039,0.4293046091416415,0.3924637783544391,0.4840996290996541,0.3793352238697824,0.3663134641785678,0.5088837469151211,0.5302082236775791,0.8211363046161102,0.4983647127729579,0.357644730186569,0.5253134676679152,0.7952624320934532,0.3951459504994564,0.6532424134934306,0.3763302617958964,0.4054886943194998,0.3165909673955009,0.4877611704633213,0.4196457333498475
scfv_39_1,0.7430935316484976,0.4183123405730208,0.4124090845537321,0.4366854361715867,0.5106092893388944,0.612834925792498,0.2755281341392888,0.3972196718809735,0.4566296348255197,0.4161250078376342,0.4123162137175354,0.7930160139612996,0.2948867620599507,0.6772620690952073,0.3737795597912424,0.389160017381438,0.3530915582506095,0.3772400849118272,0.4238796044072562,0.8769165459638633,0.6519416329950011,0.3719730689688107,0.7215041538358651,0.4804141740117316,0.3971072930333779
scfv_39_2,0.5706656559939265,0.5608276906487435,0.2151483034344515,0.4205388639212324,0.4179431345146733,0.3832772511939174,0.2854016832061334,0.4812432923639861,0.4239086133005805,0.4464674372482644,0.408174719299997,0.7977627693318171,0.7516775109439124,0.5628557361314663,0.4234093144209739,0.3782398484339193,0.5177520832576408,0.7135315828920599,0.4761037589797446,0.5275259055733786,0.7847960119748951,0.3460088714807098,0.6753532193995009,0.4806797644864827,0.4460564123516135
